base,tempo
cwin,3.54
cwin,3.36
cwin,3.34
cwin,3.4
cwin,3.24
cwin,3.3
cwin,3.36
cwin,3.28
cwin,3.42
cwin,3.34
cwin,3.58
cwin,3.46
cwin,3.44
cwin,3.2
cwin,3.38
cwin,3.5
cwin,3.46
cwin,3.18
cwin,3.46
cwin,3.54
cwin,3.36
cwin,3.24
cwin,3.44
cwin,3.46
cwin,3.42
cwin,3.12
cwin,3.48
cwin,3.5
cwin,3.32
cwin,3.14
iwin,3.38
iwin,3.32
iwin,3.18
iwin,3.22
iwin,3.38
iwin,3.06
iwin,3.22
iwin,3.56
iwin,3.24
iwin,3.2
iwin,3.32
iwin,3.28
iwin,3.32
iwin,3.42
iwin,3.42
iwin,3.38
iwin,3.22
iwin,3.12
iwin,3.36
iwin,3.44
iwin,3.08
iwin,3.42
iwin,3.36
iwin,3.36
iwin,3.22
iwin,3.38
iwin,3.4
iwin,3.24
iwin,3.24
iwin,3.56
cubu,3.06
cubu,2.96
cubu,2.38
cubu,2.72
cubu,2.52
cubu,2.64
cubu,2.46
cubu,2.4
cubu,2.46
cubu,2.88
cubu,2.58
cubu,2.92
cubu,2.52
cubu,2.36
cubu,1.42
cubu,2.5
cubu,2.52
cubu,2.76
cubu,2.6
cubu,2.88
cubu,2.42
cubu,2.38
cubu,2.34
cubu,2.74
cubu,2.48
cubu,2.32
cubu,1.84
cubu,2.64
cubu,2.72
cubu,2.86
iubu,2.82
iubu,2.72
iubu,2.62
iubu,2.62
iubu,2.64
iubu,2.58
iubu,2.68
iubu,2.74
iubu,2.54
iubu,2.46
iubu,2.86
iubu,2.66
iubu,2.62
iubu,2.96
iubu,2.8
iubu,2.76
iubu,3
iubu,3.2
iubu,2.88
iubu,2.76
iubu,2.6
iubu,2.48
iubu,2.88
iubu,2.46
iubu,3
iubu,2.12
iubu,2.3
iubu,2.92
iubu,2.76
iubu,2.44
