base,tempo
cwin,3.2
cwin,3.16
cwin,3.16
cwin,3.28
cwin,3.16
cwin,3.16
cwin,3.14
cwin,3.08
cwin,3.18
cwin,3.06
cwin,3.12
cwin,3.16
cwin,3.16
cwin,3.1
cwin,3.06
cwin,3.12
cwin,3.22
cwin,3.22
cwin,3.08
cwin,3.24
cwin,3.16
cwin,3.22
cwin,3.28
cwin,3.18
cwin,3.12
cwin,3.22
cwin,3.2
cwin,3.12
cwin,3.16
cwin,3.16
cwin,3.16
cwin,3.12
cwin,3.16
cwin,3.12
cwin,3.3
cwin,3.14
cwin,3.24
cwin,3.02
cwin,3.16
cwin,3.22
cwin,3.22
cwin,3.12
cwin,3.12
cwin,3.14
cwin,3.16
cwin,3.14
cwin,3.16
cwin,3.1
cwin,3.14
cwin,3.04
cwin,3.22
cwin,3.16
cwin,3.24
cwin,3.14
cwin,3.16
cwin,3.12
cwin,3.1
cwin,3.18
cwin,3.22
cwin,3.18
cwin,3.2
cwin,3.16
cwin,3.24
cwin,3.14
cwin,3.16
cwin,3.12
cwin,3.12
cwin,3.08
cwin,3.12
cwin,3.2
cwin,3.12
cwin,3.18
cwin,3.18
cwin,3.12
cwin,3.18
cwin,3.18
cwin,3.22
cwin,3.22
cwin,3.22
cwin,3.22
cwin,3.18
cwin,3.14
cwin,3.24
cwin,3.12
cwin,3.16
cwin,3.18
cwin,3.14
cwin,3.18
cwin,3.24
cwin,3.18
cwin,3.22
cwin,3.18
cwin,3.12
cwin,3.12
cwin,3.24
cwin,3.12
cwin,3.08
cwin,3.1
cwin,3.16
cwin,3.2
cwin,3.18
cwin,3.04
cwin,3.18
cwin,3.2
cwin,3.12
cwin,3.2
cwin,3.24
cwin,3.06
cwin,3.12
cwin,3.1
cwin,3.22
cwin,3.24
cwin,3.16
cwin,3.08
cwin,3.12
cwin,3.1
cwin,3.1
cwin,3.14
cwin,3.18
cwin,3.2
cwin,3.18
cwin,3.16
cwin,3.16
cwin,3.1
cwin,3.24
cwin,3.14
cwin,3.26
cwin,3.12
cwin,3.14
cwin,3.06
cwin,3.04
cwin,3.18
cwin,3.12
cwin,3.2
cwin,3.16
cwin,3.14
cwin,3.18
cwin,3.22
cwin,3.1
cwin,3.2
cwin,3.14
cwin,3.12
cwin,3.16
cwin,3.22
cwin,3.22
cwin,3.16
iwin,3.32
iwin,3.34
iwin,3.24
iwin,3.28
iwin,3.16
iwin,3.16
iwin,3.26
iwin,3.48
iwin,3.32
iwin,3.32
iwin,3.18
iwin,3.42
iwin,3.34
iwin,3.28
iwin,3.4
iwin,3.38
iwin,3.32
iwin,3.16
iwin,3.22
iwin,3.42
iwin,3.26
iwin,3.14
iwin,3.12
iwin,3.46
iwin,3.46
iwin,3.16
iwin,3.3
iwin,3.36
iwin,3.44
iwin,3.18
iwin,3.22
iwin,3.44
iwin,3.36
iwin,3.14
iwin,3.22
iwin,3.42
iwin,3.36
iwin,3.14
iwin,3.44
iwin,3.34
iwin,3.36
iwin,3.18
iwin,3.22
iwin,3.46
iwin,3.38
iwin,3.12
iwin,3.14
iwin,3.52
iwin,3.42
iwin,3.16
iwin,3.28
iwin,3.38
iwin,3.36
iwin,3.18
iwin,3.18
iwin,3.6
iwin,3.5
iwin,3.24
iwin,3.28
iwin,3.34
iwin,3.38
iwin,3.18
iwin,3.26
iwin,3.4
iwin,3.4
iwin,3.18
iwin,3.26
iwin,3.38
iwin,3.34
iwin,3.16
iwin,3.22
iwin,3.42
iwin,3.44
iwin,3.34
iwin,3.22
iwin,3.48
iwin,3.4
iwin,3.2
iwin,3.08
iwin,3.44
iwin,3.38
iwin,3.06
iwin,3.3
iwin,3.48
iwin,3.3
iwin,3.1
iwin,3.28
iwin,3.48
iwin,3.42
iwin,3.14
iwin,3.16
iwin,3.36
iwin,3.44
iwin,3.24
iwin,3.2
iwin,3.32
iwin,3.46
iwin,3.18
iwin,3.32
iwin,3.36
iwin,3.46
iwin,3.12
iwin,3.24
iwin,3.48
iwin,3.44
iwin,3.12
iwin,3.22
iwin,3.32
iwin,3.2
iwin,3.26
iwin,3.14
iwin,3.42
iwin,3.44
iwin,3.12
iwin,3.1
iwin,3.46
iwin,3.44
iwin,3.12
iwin,3.26
iwin,3.38
iwin,3.38
iwin,3.2
iwin,3.3
iwin,3.5
iwin,3.44
iwin,3.18
iwin,3.22
iwin,3.48
iwin,3.44
iwin,3.16
iwin,3.24
iwin,3.46
iwin,3.4
iwin,3.28
iwin,3.2
iwin,3.48
iwin,3.5
